等级	君主升级经验	君至本级后体力回复量	可觉醒部位数	英雄升级消耗	英雄升级消耗返还	搜寻任务刷新消耗钻石	巨龙技能基础攻击（重要）	出战武将数量	战队雕像赏赐掉落ID	领地金币堆	领地经验药水堆	技能槽位数量	训练馆产出经验	金矿产出	训练经验	君主经验（暂时不用）	拥军时间金币奖励	佣兵雇佣金币奖励	小兵技能升级消耗	祭坛奖励倍率1	祭坛奖励倍率2	祭坛奖励倍率3	祭坛奖励倍率4	群雄支持荣誉令牌奖励	皇城争霸挑战奖励	矿镐恢复上限	世界聊天次数上限1	功能开启展示	新手引导标识	我要变强_领主等级	我要变强_觉醒等级
307	6300000	0	6	user.gold:-2930000,user.hero_exp:-5340000	user.gold:245062460,user.hero_exp:530124780	10	372300	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
308	6320000	0	6	user.gold:-2960000,user.hero_exp:-5370000	user.gold:247992460,user.hero_exp:535464780	10	374550	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
309	6350000	0	6	user.gold:-2990000,user.hero_exp:-5410000	user.gold:250952460,user.hero_exp:540834780	10	376750	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
310	6380000	0	6	user.gold:-3020000,user.hero_exp:-5440000	user.gold:253942460,user.hero_exp:546244780	10	379000	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
311	6410000	0	6	user.gold:-3050000,user.hero_exp:-5470000	user.gold:256962460,user.hero_exp:551684780	10	381250	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
312	6440000	0	6	user.gold:-3090000,user.hero_exp:-5510000	user.gold:260012460,user.hero_exp:557154780	10	383550	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
313	6470000	0	6	user.gold:-3120000,user.hero_exp:-5550000	user.gold:263102460,user.hero_exp:562664780	10	386100	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
314	6510000	0	6	user.gold:-3160000,user.hero_exp:-5580000	user.gold:266222460,user.hero_exp:568214780	10	388600	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
315	6540000	0	6	user.gold:-3190000,user.hero_exp:-5620000	user.gold:269382460,user.hero_exp:573794780	10	391100	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
316	6580000	0	6	user.gold:-3230000,user.hero_exp:-5660000	user.gold:272572460,user.hero_exp:579414780	10	393600	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
317	6620000	0	6	user.gold:-3270000,user.hero_exp:-5700000	user.gold:275802460,user.hero_exp:585074780	10	396100	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
318	6660000	0	6	user.gold:-3300000,user.hero_exp:-5750000	user.gold:279072460,user.hero_exp:590774780	10	398600	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
319	6700000	0	6	user.gold:-3340000,user.hero_exp:-5790000	user.gold:282372460,user.hero_exp:596524780	10	401100	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
320	6710000	0	6	user.gold:-3370000,user.hero_exp:-5820000	user.gold:285712460,user.hero_exp:602314780	10	403600	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
321	6730000	0	6	user.gold:-3400000,user.hero_exp:-5840000	user.gold:289082460,user.hero_exp:608134780	10	406200	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
322	6750000	0	6	user.gold:-3440000,user.hero_exp:-5870000	user.gold:292482460,user.hero_exp:613974780	10	408800	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
323	6770000	0	6	user.gold:-3470000,user.hero_exp:-5900000	user.gold:295922460,user.hero_exp:619844780	10	411400	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
324	6800000	0	6	user.gold:-3500000,user.hero_exp:-5930000	user.gold:299392460,user.hero_exp:625744780	10	414500	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
325	6820000	0	6	user.gold:-3540000,user.hero_exp:-5960000	user.gold:302892460,user.hero_exp:631674780	10	417100	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
326	6850000	0	6	user.gold:-3570000,user.hero_exp:-5990000	user.gold:306432460,user.hero_exp:637634780	10	419700	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
327	6870000	0	6	user.gold:-3610000,user.hero_exp:-6020000	user.gold:310002460,user.hero_exp:643624780	10	422300	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
328	6900000	0	6	user.gold:-3650000,user.hero_exp:-6050000	user.gold:313612460,user.hero_exp:649644780	10	425350	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
329	6930000	0	6	user.gold:-3690000,user.hero_exp:-6090000	user.gold:317262460,user.hero_exp:655694780	10	427950	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
330	6960000	0	6	user.gold:-3730000,user.hero_exp:-6130000	user.gold:320952460,user.hero_exp:661784780	10	430550	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
331	6990000	0	6	user.gold:-3770000,user.hero_exp:-6160000	user.gold:324682460,user.hero_exp:667914780	10	433150	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
332	7020000	0	6	user.gold:-3810000,user.hero_exp:-6200000	user.gold:328452460,user.hero_exp:674074780	10	435700	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
333	7060000	0	6	user.gold:-3860000,user.hero_exp:-6240000	user.gold:332262460,user.hero_exp:680274780	10	438300	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
334	7090000	0	6	user.gold:-3900000,user.hero_exp:-6280000	user.gold:336122460,user.hero_exp:686514780	10	440900	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
335	7130000	0	6	user.gold:-3950000,user.hero_exp:-6330000	user.gold:340022460,user.hero_exp:692794780	10	443450	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
336	7170000	0	6	user.gold:-4000000,user.hero_exp:-6370000	user.gold:343972460,user.hero_exp:699124780	10	446100	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
337	7200000	0	6	user.gold:-4050000,user.hero_exp:-6420000	user.gold:347972460,user.hero_exp:705494780	10	448900	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
338	7240000	0	6	user.gold:-4100000,user.hero_exp:-6460000	user.gold:352022460,user.hero_exp:711914780	10	451750	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
339	7290000	0	6	user.gold:-4160000,user.hero_exp:-6510000	user.gold:356122460,user.hero_exp:718374780	10	454600	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	9
340	7300000	0	6	user.gold:-4200000,user.hero_exp:-6540000	user.gold:360282460,user.hero_exp:724884780	10	457400	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
341	7320000	0	6	user.gold:-4240000,user.hero_exp:-6570000	user.gold:364482460,user.hero_exp:731424780	10	460350	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
342	7350000	0	6	user.gold:-4290000,user.hero_exp:-6600000	user.gold:368722460,user.hero_exp:737994780	10	463300	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
343	7370000	0	6	user.gold:-4330000,user.hero_exp:-6630000	user.gold:373012460,user.hero_exp:744594780	10	466700	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
344	7390000	0	6	user.gold:-4380000,user.hero_exp:-6660000	user.gold:377342460,user.hero_exp:751224780	10	469650	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
345	7420000	0	6	user.gold:-4430000,user.hero_exp:-6690000	user.gold:381722460,user.hero_exp:757884780	10	472550	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
346	7440000	0	6	user.gold:-4480000,user.hero_exp:-6730000	user.gold:386152460,user.hero_exp:764574780	10	475500	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
347	7470000	0	6	user.gold:-4530000,user.hero_exp:-6770000	user.gold:390632460,user.hero_exp:771304780	10	478400	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
348	7500000	0	6	user.gold:-4590000,user.hero_exp:-6800000	user.gold:395162460,user.hero_exp:778074780	10	481350	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
349	7530000	0	6	user.gold:-4640000,user.hero_exp:-6840000	user.gold:399752460,user.hero_exp:784874780	10	484250	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
350	7560000	0	6	user.gold:-4700000,user.hero_exp:-6880000	user.gold:404392460,user.hero_exp:791714780	10	487200	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
351	7590000	0	6	user.gold:-4760000,user.hero_exp:-6920000	user.gold:409092460,user.hero_exp:798594780	10	490100	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
352	7630000	0	6	user.gold:-4820000,user.hero_exp:-6970000	user.gold:413852460,user.hero_exp:805514780	10	493000	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
353	7660000	0	6	user.gold:-4880000,user.hero_exp:-7010000	user.gold:418672460,user.hero_exp:812484780	10	495900	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
354	7700000	0	6	user.gold:-4950000,user.hero_exp:-7060000	user.gold:423552460,user.hero_exp:819494780	10	498850	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
355	7730000	0	6	user.gold:-5020000,user.hero_exp:-7100000	user.gold:428502460,user.hero_exp:826554780	10	501750	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
356	7770000	0	6	user.gold:-5090000,user.hero_exp:-7150000	user.gold:433522460,user.hero_exp:833654780	10	504650	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
357	7810000	0	6	user.gold:-5160000,user.hero_exp:-7200000	user.gold:438612460,user.hero_exp:840804780	10	507550	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
358	7860000	0	6	user.gold:-5230000,user.hero_exp:-7250000	user.gold:443772460,user.hero_exp:848004780	10	510450	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
359	7900000	0	6	user.gold:-5310000,user.hero_exp:-7300000	user.gold:449002460,user.hero_exp:855254780	10	513350	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
360	7900000	0	6	user.gold:-5360000,user.hero_exp:-7320000	user.gold:454312460,user.hero_exp:862554780	10	519000	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	10
